,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Atlanta Hawks,976.0,988.33,968.77,958.8,969.56,991.46,977.03,998.32,982.18,1011.66,1020.15,1044.92,1055.9,1065.53,1052.97,1039.05,1049.27,1055.31,1016.9,1032.23,1045.2,1038.34,1000.03,994.11,1002.93,983.68,995.24,978.77,960.33,949.14,937.67,920.16,915.6,910.66,951.45,977.75,957.48,939.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,991.2,976.27,964.35,999.22,1025.8,1035.11,1004.9,993.94,1016.64,996.21,1007.49,998.59,1028.71,1036.52,1047.23,1025.77,1043.22,1056.36,1044.56,1054.2,1069.0,1083.66,1108.96,1120.04,1089.65,1078.35,1094.32,1111.22,1115.81,1122.08,1102.08,1111.21,1116.74,1140.79,1149.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,976.8,963.54,950.57,922.73,911.97,894.12,879.14,896.38,883.28,862.75,853.78,846.4,871.42,860.71,882.17,874.92,864.9,853.19,836.05,858.29,877.07,860.63,880.19,868.93,923.06,910.82,936.46,955.17,984.67,968.4,952.37,921.28,947.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,1023.2,1011.54,1039.12,1009.54,984.89,962.46,990.45,976.12,957.24,944.69,965.45,949.27,941.34,935.02,914.75,894.18,888.14,871.36,888.14,909.7,887.46,878.12,920.15,912.97,900.87,920.67,937.14,923.8,911.85,926.91,954.34,935.86,926.27,917.0,936.62,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1011.2,1028.18,1038.15,1053.24,1066.76,1045.11,1054.97,1031.51,1019.18,1009.94,996.34,983.72,998.52,1006.58,975.86,980.3,954.19,937.41,925.59,919.36,900.58,877.6,855.79,867.89,850.17,880.31,902.15,913.34,924.81,942.23,924.43,903.6,922.1,940.15,920.53,912.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,985.6,998.86,1011.98,1036.78,1010.2,990.69,1005.12,1023.82,1044.25,1056.58,1047.12,1067.64,1047.54,1056.33,1070.97,1057.13,1064.44,1076.84,1061.29,1045.96,1036.32,1047.73,1025.47,1047.89,1033.94,1037.88,1018.08,987.94,966.1,978.05,998.98,992.95,977.89,1004.33,1029.71,1044.48,1035.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,965.6,950.34,969.11,958.28,967.61,952.1,941.97,931.36,912.58,923.23,916.27,905.81,893.84,909.49,892.74,887.39,896.52,884.81,879.97,872.67,884.44,910.36,934.91,927.74,957.11,968.37,952.8,967.54,956.46,941.23,954.86,942.53,925.53,915.0,900.05,920.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,987.79,1012.71,1030.3,1056.8,1046.5,1056.59,1072.13,1095.41,1106.41,1116.64,1126.78,1140.58,1125.78,1130.38,1140.83,1120.28,1128.57,1117.12,1136.43,1110.51,1118.01,1123.93,1131.11,1141.75,1152.12,1166.28,1144.02,1155.37,1141.74,1152.26,1140.6,1103.78,1111.35,1096.58,1070.78,1078.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,988.8,1000.08,1012.0,987.2,1009.0,1024.51,1036.44,1049.9,1063.0,1072.79,1076.83,1090.43,1103.51,1110.09,1122.65,1133.42,1136.94,1123.8,1112.58,1123.17,1130.03,1112.97,1120.96,1129.71,1148.96,1160.26,1145.52,1158.86,1165.08,1168.9,1153.0,1125.03,1142.5,1126.34,1134.95,1163.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,1016.0,1028.21,1001.5,1020.12,1043.43,1027.0,1011.33,1027.17,1012.94,989.66,1013.98,995.79,1010.96,1021.35,1034.46,1019.63,1001.93,989.43,1005.85,998.91,1007.22,999.8,990.92,1004.87,1026.68,1014.99,999.28,991.38,1003.31,1036.02,1048.35,1025.07,1041.34,1050.93,1031.61,1041.93,1032.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
